Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Region,Year,Month
0.7483188855036924,0.7156247401267698,0.7068534668893438,0.5806405273095279,0.1383095678268563,-0.5333663563861276,0.06135269477947981,-0.6002707378730624,-0.8427349899827183,West,2019,6
-1.5001058552891477,-1.4994474540873766,-1.4878869248175388,-1.5019594630371724,0.6707838830202613,0.10301252851170178,1.1296918477244504,0.7135590292161567,0.23809700030010134,Central,2019,7
-1.5603300552514296,-1.5376582183181313,-1.5687232652411836,-1.5878839932283242,1.7975270759767175,1.5428475442394072,2.1695442462576953,-1.1618753121827978,-2.491691565023294,Central Business District and Surrounding,2019,7
-1.5063312575902321,-1.554182443301247,-1.5519980166014193,-1.570003450021754,1.7051710782497713,0.6019874855374846,1.9905608805032973,0.4210284346412286,-0.22659204598312738,East,2019,7
-1.2389910234985355,-1.2191233230098397,-1.265883882837222,-1.2930046285024193,0.5159787237170045,0.6647257445761079,0.6180036768060906,-0.6279313825651719,-0.9272738649362705,Islands,2019,7
-0.5838352577970652,-0.09159188050686076,-0.2033496636404492,-0.331715280845736,0.7625440349332289,0.7178911219320226,-0.5309160747282636,0.18945244160444305,-0.1533820130450971,North,2019,7
-1.356948756148709,-1.4642932252090322,-1.5170105156357607,-1.5423206646951768,0.7688004224448579,1.2345462899014925,0.5866019938986243,0.35810423303548594,0.18484344071187414,North-East,2019,7
-1.6552413283915706,-1.7135033327703546,-1.7106399745856484,-1.7125491351940616,1.1103984409928043,-1.1893831238356338,2.4756277383626557,3.0811824950410243,1.5501166292539557,South-East,2019,7
-1.2550927557656408,-1.2039244565367553,-1.2188978333723322,-1.2076481868822089,1.4048651241837118,-0.38024667501327963,2.1924288143665547,0.08297820606088213,0.4318354160522041,South-West,2019,7
-1.0229404433160694,-0.889582796902429,-0.980489850527268,-1.0389084611762975,0.8703872397826695,0.16791855904638517,0.7656783803950845,-0.14073988969951587,-0.4864668415125033,West,2019,7
-1.5752777541375576,-1.5152511129476982,-1.550336509944784,-1.5806909332477812,0.6999803020452082,0.2562410651159964,1.3934225357088978,0.9018295771305835,0.6004172393976644,Central,2019,8
-1.6403597698381258,-1.6202665165754657,-1.6344822492685251,-1.6522667713141428,1.7933290801940796,1.3961939701000345,2.1160623581945517,-0.8865230718291462,-2.1756288086120645,Central Business District and Surrounding,2019,8
-1.722751636703089,-1.787584446949431,-1.7650383499395168,-1.7623368308391505,1.724635361909686,0.985900729923929,2.128612503541261,0.9133768360911679,0.22709779965528012,East,2019,8
-1.5008038213452026,-1.4773116635561667,-1.4523076020484345,-1.4791047521638907,0.7250057874425146,0.9499790255330863,0.9030788097903016,-0.26645193094300024,-1.0468493448041327,Islands,2019,8
-1.4515954679581176,-1.6995550055168653,-1.6636704523871968,-1.5522368864193996,1.067020909697097,1.0999929659915508,0.2019281594980157,0.7663204219955561,0.2627189772698498,North,2019,8
-1.3817513535327488,-1.6205144865277046,-1.6004053815617567,-1.6092551605651733,0.46432354768099426,0.3330798297159345,0.9499642675852394,1.1824782060679013,0.6174061058657793,North-East,2019,8
-1.4898906784470167,-1.3775036358437835,-1.4221129093976004,-1.4662962994236477,0.4298186794298081,-1.8287797321493866,2.046166584719908,3.8584302578932634,1.7079606206268523,South-East,2019,8
-1.646643094676878,-1.6329129997059766,-1.6444992186821672,-1.6613153238488356,1.3881814543223363,-0.26911389813920195,2.4463916946063633,0.3018740964900105,0.5200468355272385,South-West,2019,8
-1.6292812764157842,-1.6702992844709283,-1.6482965978383404,-1.654736292260968,1.0837045795584725,0.4829968371328778,1.3445835090977845,0.3340056044214564,-0.06715807147558059,West,2019,8
-1.257015616154207,-1.2882157757445616,-1.3259228659317652,-1.2542971428452334,0.6039797186149123,0.7002109109883321,0.9182514617869655,0.8737312429466016,0.29931136921452,Central,2019,9
-1.5250678480639266,-1.6728627792924815,-1.6276901551969694,-1.556345035265733,1.810960675411004,1.63346092728981,2.061007462736547,-1.1411748263513455,-2.256652631124741,Central Business District and Surrounding,2019,9
-1.6322717609318844,-1.775082613101859,-1.7209045726309544,-1.692999028984531,1.6405218785479303,1.4727521038879923,1.6268078954758642,0.43466201051446823,-0.4084092140414068,East,2019,9
-0.9145034872122793,-0.9519246839859601,-0.9718285609098335,-0.9439180101883637,0.6147545809219388,1.2187182882517984,0.5044222016065202,-0.5700612001110581,-1.3134002966978058,Islands,2019,9
-0.6651225819673657,-1.1368263623630024,-1.0240427852828202,-0.9117139000462346,1.0241995037470648,1.4797119380286243,0.16845630482075188,0.6035157891825622,-0.2542549604451286,North,2019,9
-0.530063226375677,-0.9000369079174694,-0.8217657304688226,-0.9016501157228827,0.6883017344352267,0.5697140860999191,0.6124372332388803,0.4924206267739471,-0.09196617231921521,North-East,2019,9
-1.7404520299641404,-1.931386531071278,-1.844966417696603,-1.7956801260602342,0.7483629226624732,-1.1511040517217852,2.0265063965311376,3.1569258303967387,1.3110963528415613,South-East,2019,9
-0.4644520886287478,-0.3901274050808854,-0.33641400063909327,-0.3594256110063755,1.127638223270014,-0.041011064817601535,1.8448252596878325,0.38970021588662035,-0.35799439091956514,South-West,2019,9
-0.6750911791337483,-0.8714849038803755,-0.8314232390805604,-0.7602082005135177,0.8112881480155477,0.6683116824868294,0.6477484398576234,-0.10885693092228016,-0.7727913473742731,West,2019,9
-0.7481574021021623,-0.7081956165424392,-0.7185672002494284,-0.8058956652416671,-0.2944955545902905,0.8281045643343774,-0.45026713980727534,-0.1446257380983972,0.023021112808951083,Central,2019,10
-1.2722093989419228,-1.399842335829433,-1.3496753951345795,-1.3678464556684016,1.5677915288833524,1.6049888899214984,1.0938765607354952,-1.3612899928052815,-1.9441321734403032,Central Business District and Surrounding,2019,10
-0.1844236768345005,-0.4659029820415872,-0.3962122732956236,-0.3755119258977949,0.677735404586759,1.1453033009881042,0.24277532358921028,-0.5683542138008366,-0.4461404687329323,East,2019,10
-0.4014534909472811,-0.5094217619885962,-0.49997657455962446,-0.5076455784902204,-0.35734693762746994,0.9146185932059584,-0.39213187701031565,-1.5383240760583192,-2.032784388842548,Islands,2019,10
